,Date,A,B,Slope,intercept,Res_errorSD,Residual,SD
439,3/17/2021,576.2827148,2647,5.240328672,-196.9442044,147.1200169,-175.9666292,-1.196075374
440,3/18/2021,569.5991211,2664.600098,5.240328672,-196.9442044,147.1200169,-123.3423035,-0.838378802
441,3/19/2021,582.6171265,2661.5,5.240328672,-196.9442044,147.1200169,-194.6610285,-1.323144414
442,3/22/2021,578.7766113,2676.850098,5.240328672,-196.9442044,147.1200169,-159.1853685,-1.082010266
443,3/23/2021,577.6293945,2702.75,5.240328672,-196.9442044,147.1200169,-127.2736735,-0.865100998
444,3/24/2021,565.3096924,2660.649902,5.240328672,-196.9442044,147.1200169,-104.8144833,-0.712442029
445,3/25/2021,556.8804321,2580.449951,5.240328672,-196.9442044,147.1200169,-140.8423399,-0.957329552
446,3/26/2021,569.250061,2560.550049,5.240328672,-196.9442044,147.1200169,-225.5631629,-1.533191524
447,3/30/2021,575.2000122,2639.949951,5.240328672,-196.9442044,147.1200169,-177.3429607,-1.205430535
448,3/31/2021,585.0499878,2603.949951,5.240328672,-196.9442044,147.1200169,-264.9600703,-1.800979064
449,4/1/2021,589.2000122,2631.149902,5.240328672,-196.9442044,147.1200169,-259.5076111,-1.763917763
450,4/5/2021,584.25,2517.199951,5.240328672,-196.9442044,147.1200169,-347.5178713,-2.362138604
451,4/6/2021,570.7999878,2486.600098,5.240328672,-196.9442044,147.1200169,-307.6352397,-2.091049513
452,4/7/2021,569.2000122,2538.199951,5.240328672,-196.9442044,147.1200169,-247.6509887,-1.683326266
453,4/8/2021,564.0999756,2553,5.240328672,-196.9442044,147.1200169,-206.1250717,-1.401067482
454,4/9/2021,568,2521.600098,5.240328672,-196.9442044,147.1200169,-257.9623834,-1.753414585
455,4/12/2021,538.9000244,2427.199951,5.240328672,-196.9442044,147.1200169,-199.8690939,-1.358544528
456,4/13/2021,547.9500122,2493.850098,5.240328672,-196.9442044,147.1200169,-180.6438574,-1.227867297
457,4/15/2021,542.5999756,2412.600098,5.240328672,-196.9442044,147.1200169,-233.8579072,-1.589572324
458,4/16/2021,551.0499878,2434.850098,5.240328672,-196.9442044,147.1200169,-255.8887484,-1.739319733
459,4/19/2021,539.2000122,2370.350098,5.240328672,-196.9442044,147.1200169,-258.2909815,-1.755648123
460,4/20/2021,536.9500122,2340,5.240328672,-196.9442044,147.1200169,-276.85034,-1.881799268
461,4/22/2021,533.8499756,2337.850098,5.240328672,-196.9442044,147.1200169,-262.7550313,-1.785991036
462,4/23/2021,532.7999878,2317.300049,5.240328672,-196.9442044,147.1200169,-277.8027992,-1.888273296
463,4/26/2021,552.7000122,2369.850098,5.240328672,-196.9442044,147.1200169,-329.5354186,-2.239908787
464,4/27/2021,566.2999878,2400.100098,5.240328672,-196.9442044,147.1200169,-370.5537607,-2.518717497
465,4/28/2021,645.7999878,2521.199951,5.240328672,-196.9442044,147.1200169,-666.0600371,-4.527324366
466,4/29/2021,633.75,2462.899902,5.240328672,-196.9442044,147.1200169,-661.2141896,-4.494386308
467,4/30/2021,630.9000244,2421.649902,5.240328672,-196.9442044,147.1200169,-687.5293807,-4.673255178
468,5/3/2021,616.0999756,2396.25,5.240328672,-196.9442044,147.1200169,-635.3721626,-4.318733617
469,5/4/2021,608.5,2368,5.240328672,-196.9442044,147.1200169,-623.7957926,-4.240047043
470,5/5/2021,603.8499756,2372.399902,5.240328672,-196.9442044,147.1200169,-595.0282344,-4.044509014
471,5/6/2021,625.8499756,2443.25,5.240328672,-196.9442044,147.1200169,-639.4653672,-4.346555831
472,5/7/2021,618.1500244,2417.149902,5.240328672,-196.9442044,147.1200169,-625.2151901,-4.249694932
473,5/10/2021,611.5499878,2447.25,5.240328672,-196.9442044,147.1200169,-560.5287311,-3.81000997
474,5/11/2021,624.2999878,2471.199951,5.240328672,-196.9442044,147.1200169,-603.3929707,-4.101365562
475,5/12/2021,614.2000122,2456.449951,5.240328672,-196.9442044,147.1200169,-565.2157789,-3.841868638
476,5/14/2021,602.5999756,2415.199951,5.240328672,-196.9442044,147.1200169,-545.6777746,-3.70906547
477,5/17/2021,619.9500122,2484.350098,5.240328672,-196.9442044,147.1200169,-567.4475218,-3.857038178
478,5/18/2021,640.4500122,2571.850098,5.240328672,-196.9442044,147.1200169,-587.3742596,-3.992483634
479,5/19/2021,637.7000122,2564.699951,5.240328672,-196.9442044,147.1200169,-580.1135027,-3.943131023
480,5/20/2021,627.9000244,2530.600098,5.240328672,-196.9442044,147.1200169,-562.8581987,-3.825843761
481,5/21/2021,625,2522.300049,5.240328672,-196.9442044,147.1200169,-555.9611667,-3.778963451
482,5/24/2021,621.0499878,2551.199951,5.240328672,-196.9442044,147.1200169,-506.3619025,-3.441828741
483,5/25/2021,633.9000244,2625.050049,5.240328672,-196.9442044,147.1200169,-499.8502197,-3.397567716
484,5/26/2021,651.4500122,2633.5,5.240328672,-196.9442044,147.1200169,-583.367973,-3.965252216
485,5/27/2021,650.3499756,2604.050049,5.240328672,-196.9442044,147.1200169,-607.0533706,-4.126245928
486,5/28/2021,619.7000122,2638.449951,5.240328672,-196.9442044,147.1200169,-412.0375866,-2.80069018
487,5/31/2021,615.2000122,2676.149902,5.240328672,-196.9442044,147.1200169,-350.7561566,-2.384149785
488,6/1/2021,612.7000122,2665.800049,5.240328672,-196.9442044,147.1200169,-348.0051879,-2.365450979
489,6/2/2021,616.6500244,2677.75,5.240328672,-196.9442044,147.1200169,-356.7545991,-2.424922228
490,6/3/2021,624.9000244,2767.75,5.240328672,-196.9442044,147.1200169,-309.9873107,-2.107036943
491,6/4/2021,623.4000244,2744.600098,5.240328672,-196.9442044,147.1200169,-325.2767197,-2.21096168
492,6/7/2021,648.7999878,2754.449951,5.240328672,-196.9442044,147.1200169,-448.5310231,-3.04874233
